Transactions ,NREG ,Account 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SELECTION CRITERIA: All transaction types,,,,,,,,,,,,,,,,,,,,,,
SECURITY: All securities,,,,,,,,,,,,,,,,,,,,,,
DATES: 01-JAN-2024 TO 01-JAN-2025,,,,,,,,,,,,,,,,,,,,,,
                      ,,,,,,,,,,,,,,,,,,,,,,
TRANS/VALUE DATE,ENTRY DATE,TRANS TYPE,A/C,ST,QUANTITY,TRADE NO,CUSIP,SYMBOL,SECURITY DESCRIPTION,AVG COST,,UNIT PRICE,,TOTAL AMOUNT,,REMARK,GAIN/LOSS,,CXLD,LONG REMARK,COMMISSION,
18-Dec-2024/19-Dec-2024,18-Dec-24,BUY,14,,58,8467,C036544,CSH.UN,CHARTWELL RETIREMENT RESIDENCE,,,15.813,,-917.13,,YLD: 3.87%,,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,BUY,14,,18,7229,C110085,CPX,CAPITAL POWER CORP,,,63.905,,-1150.29,,,,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,SELL,14,,-5,4658,C146504,CM,CIBC,66.6108,,93.74,,468.7,,,135.65,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,BUY,14,,5,2839,E102994,EIF,EXCHANGE INC CORP,,,55.928,,-279.64,,,,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,SELL,14,,-9,4609,F538065,FTS,FORTIS,57.5189,,59.592,,536.33,,,18.66,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,SELL,14,,-4,2585,R020958,QSR,RESTAURANT BRANDS INTL COM,79.7347,,96.773,,387.09,,,68.15,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,SELL,14,,-2,8411,T042071,TRI,THOMSON REUTERS COM NO PAR,151.2781,,238.838,,477.68,,,175.12,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,SELL,14,,-21,4077,T101491,T,TELUS,28.0868,,20.01,,420.21,,,-169.61,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,SELL,14,,-4,862,T443951,TIH,TOROMONT IND,118.92,,113.935,,455.74,,,-19.94,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,BUY,14,,87,8086,T600335,TA,TRANSALTA,,,20.934,,-1821.29,,,,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,SELL,14,,-2,1206,W013918,WCN,WASTE CONNECTIONS COM,247.9113,,254,,508,,,12.18,,,,0,
17-Dec-24,,Dividend,14U,,,,L027600,LIN,LINDE PLC ORDINARY SHARES,,,,,11.12,U,DIV,,,,CASH DIV  ON       8 SHS       REC 12/03/24 PAY 12/17/24,,
17-Dec-24,,Misc cash,14U,,,,U001694,UNH,UNITEDHEALTH GROUP,,,,,-2.52,U,NRT,,,,CASH DIV  ON       8 SHS       REC 12/09/24 PAY 12/17/24      NON-RES TAX WITHHELD,,
17-Dec-24,,Dividend,14U,,,,U001694,UNH,UNITEDHEALTH GROUP,,,,,16.8,U,DIV,,,,CASH DIV  ON       8 SHS       REC 12/09/24 PAY 12/17/24      NON-RES TAX WITHHELD,,
16-Dec-24,,Misc cash,14U,,,,M238353,MCD,MCDONALDS,,,,,-3.18,U,NRT,,,,CASH DIV  ON      12 SHS       REC 12/02/24 PAY 12/16/24      NON-RES TAX WITHHELD,,
16-Dec-24,,Dividend,14U,,,,M238353,MCD,MCDONALDS,,,,,21.24,U,DIV,,,,CASH DIV  ON      12 SHS       REC 12/02/24 PAY 12/16/24      NON-RES TAX WITHHELD,,
16-Dec-24,,Dividend,14U,,,,A036970,GOOGL,ALPHABET CL A COM STOCK,,,,,4,U,DIV,,,,CASH DIV  ON      20 SHS       REC 12/09/24 PAY 12/16/24      NON-RES TAX WITHHELD,,
16-Dec-24,,Misc cash,14U,,,,A036970,GOOGL,ALPHABET CL A COM STOCK,,,,,-0.6,U,NRT,,,,CASH DIV  ON      20 SHS       REC 12/09/24 PAY 12/16/24      NON-RES TAX WITHHELD,,
16-Dec-24,,Dividend,14U,,,,A040553,GOOG,ALPHABET CL C CAP STOCK,,,,,4.2,U,DIV,,,,CASH DIV  ON      21 SHS       REC 12/09/24 PAY 12/16/24      NON-RES TAX WITHHELD,,
16-Dec-24,,Misc cash,14U,,,,A040553,GOOG,ALPHABET CL C CAP STOCK,,,,,-0.63,U,NRT,,,,CASH DIV  ON      21 SHS       REC 12/09/24 PAY 12/16/24      NON-RES TAX WITHHELD,,
16-Dec-24,,Dividend,14,,,,H067489,IAG,IA FINANCIAL COM,,,,,21.6,,DIV,,,,CASH DIV  ON      24 SHS       REC 11/22/24 PAY 12/16/24,,
16-Dec-24,,Dividend,14,,,,A112602,AEM,AGNICO EAGLE MINES,,,,,19.8,,DIV,,,,CASH DIV  ON      35 SHS       REC 11/29/24 PAY 12/16/24,,
16-Dec-24,,Interest,14,,,,H105591,IIP.UN,INTERRENT REAL EST INVESTMENT,,,,,1.36,,INT,,,,DIST      ON      41 SHS       REC 11/30/24 PAY 12/16/24,,
16-Dec-24,,Interest,14,,,,C100571,CAR.UN,CDN APARTMENT PPTYS REAL EST I,,,,,5.75,,INT,,,,DIST      ON      46 SHS       REC 11/29/24 PAY 12/16/24,,
16-Dec-24,,Interest,14,,,,C036544,CSH.UN,CHARTWELL RETIREMENT RESIDENCE,,,,,0.53,,INT,,,,DIST      ON      59 SHS       REC 11/29/24 PAY 12/16/24,,
16-Dec-24,,Misc cash,14,,,,C036544,CSH.UN,CHARTWELL RETIREMENT RESIDENCE,,,,,2.48,,RTC Z$,,,,RTN OF CAPTL      59 SHS       REC 11/29/24 PAY 12/16/24,,
13-Dec-24,,Dividend,14,,,,C035713,CCO,CAMECO,,,,,3.04,,DIV,,,,CASH DIV  ON      19 SHS       REC 11/27/24 PAY 12/13/24,,
13-Dec-24,,Dividend,14,,,,E102994,EIF,EXCHANGE INC CORP,,,,,4.18,,DIV,,,,CASH DIV  ON      19 SHS       REC 11/29/24 PAY 12/13/24,,
13-Dec-24,,Dividend,14U,,,,M005555,MCO,MOODYS,,,,,2.55,U,DIV,,,,CASH DIV  ON       3 SHS       REC 11/22/24 PAY 12/13/24      NON-RES TAX WITHHELD,,
13-Dec-24,,Misc cash,14U,,,,M005555,MCO,MOODYS,,,,,-0.38,U,NRT,,,,CASH DIV  ON       3 SHS       REC 11/22/24 PAY 12/13/24      NON-RES TAX WITHHELD,,
12-Dec-24,17-Dec-24,Dividend,14U,,,,S013462,SMCAY,SMC JAPAN SPONSORED ADR,,,,,4.44,U,DIV,,,,CASH DIV  ON      32 SHS       REC 09/30/24 PAY 12/12/24      NON-RES TAX WITHHELD,,
12-Dec-24,17-Dec-24,Misc cash,14U,,,,S013462,SMCAY,SMC JAPAN SPONSORED ADR,,,,,-0.67,U,NRT,,,,CASH DIV  ON      32 SHS       REC 09/30/24 PAY 12/12/24      NON-RES TAX WITHHELD,,
12-Dec-24,,Dividend,14U,,,,R239085,RMD,RESMED,,,,,5.3,U,DIV,,,,CASH DIV  ON      10 SHS       REC 11/07/24 PAY 12/12/24      NON-RES TAX WITHHELD,,
12-Dec-24,,Misc cash,14U,,,,R239085,RMD,RESMED,,,,,-0.79,U,NRT,,,,CASH DIV  ON      10 SHS       REC 11/07/24 PAY 12/12/24      NON-RES TAX WITHHELD,,
12-Dec-24,,Misc cash,14U,,,,H291400,HD,HOME DEPOT,,,,,-3.37,U,NRT,,,,CASH DIV  ON      10 SHS       REC 11/27/24 PAY 12/12/24      NON-RES TAX WITHHELD,,
12-Dec-24,,Dividend,14U,,,,H291400,HD,HOME DEPOT,,,,,22.5,U,DIV,,,,CASH DIV  ON      10 SHS       REC 11/27/24 PAY 12/12/24      NON-RES TAX WITHHELD,,
12-Dec-24,,Misc cash,14U,,,,M415385,MSFT,MICROSOFT,,,,,-4.48,U,NRT,,,,CASH DIV  ON      36 SHS       REC 11/21/24 PAY 12/12/24      NON-RES TAX WITHHELD,,
12-Dec-24,,Dividend,14U,,,,M415385,MSFT,MICROSOFT,,,,,29.88,U,DIV,,,,CASH DIV  ON      36 SHS       REC 11/21/24 PAY 12/12/24      NON-RES TAX WITHHELD,,
12-Dec-24,,Dividend,14,,,,F260988,FTT,FINNING INTL,,,,,2.48,,DIV,,,,CASH DIV  ON       9 SHS       REC 11/28/24 PAY 12/12/24,,
11-Dec-24,,Misc cash,14U,,,,E016890,EQIX,EQUINIX COM REIT,,,,,-3.19,U,NRT,,,,CASH DIV  ON       5 SHS       REC 11/13/24 PAY 12/11/24      NON-RES TAX WITHHELD,,
11-Dec-24,,Dividend,14U,,,,E016890,EQIX,EQUINIX COM REIT,,,,,21.3,U,DIV,,,,CASH DIV  ON       5 SHS       REC 11/13/24 PAY 12/11/24      NON-RES TAX WITHHELD,,
10-Dec-24,,Dividend,14,,,,T042071,TRI,THOMSON REUTERS COM NO PAR,,,,,14.43,,DIV,,,,CASH DIV  ON      19 SHS       REC 11/21/24 PAY 12/10/24,,
