Account,Sample- Joint,,,,,,,,,,,,,,,,,,,,,
SELECTION CRITERIA: All transaction types,,,,,,,,,,,,,,,,,,,,,,
SECURITY: All securities,,,,,,,,,,,,,,,,,,,,,,
DATES: 01-JAN-2024 TO 01-JAN-2025,,,,,,,,,,,,,,,,,,,,,,
                      ,,,,,,,,,,,,,,,,,,,,,,
TRANS/VALUE DATE,ENTRY DATE,TRANS TYPE,A/C,ST,QUANTITY,TRADE NO,CUSIP,SYMBOL,SECURITY DESCRIPTION,AVG COST,,UNIT PRICE,,TOTAL AMOUNT,,REMARK,GAIN/LOSS,,CXLD,LONG REMARK,COMMISSION,
11-Oct-2024/15-Oct-2024,15-Oct-24,BUY,22,,150000,4965,B074135,BMT102,BMO CAD HISA CL F (102),,,1,,-150000,,,,,,,0,
10-Oct-24,,Journal Sale,22,,-909,,F018563,,1000THS FORGE FIRST CONSERVIVE,,,,,0,,SEL KP,,,,AS OF 10/10/24                 DEL FRACTIONAL SHARES OUT RE   SALE OF 8223.909 SHARES,,
09-Oct-2024/10-Oct-2024,10-Oct-24,SELL,22,,-8223,2509,F018526,FOR210,FORGE FIRST CONS ALT NL F,16.113,,18.24,,150000,,,17502.97,,,,0,
02-Oct-24,,Reinvested,22,,-1000,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
02-Oct-24,,Reinvested,22,,1,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
01-Oct-24,,Reinvested,22,,-1000,,D054213,,1000THS DYNAMIC CR  ABSOLUTE R,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
01-Oct-24,,Reinvested,22,,1,,D054214,DYN27550,DYNAMIC CR  ABSOLUTE RETURN FD,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
30-Sep-24,01-Oct-24,Interest,22,,870,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 09/30/24                 REINVESTED @ $1.00,,
30-Sep-24,01-Oct-24,Interest,22,,279,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 09/30/24                 REINVESTED @ $1.00,,
27-Sep-24,30-Sep-24,Stock Div,22,,12,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,DIV C5,,,,AS OF 09/27/24                 REINVESTED DIVIDENDS @$11.4832,,
27-Sep-24,30-Sep-24,Stock Div,22,,970,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,DIV C5,,,,AS OF 09/27/24                 REINVESTED DIVIDENDS @$11.4832,,
27-Sep-24,30-Sep-24,Stock Div,22,,158,,D054213,,1000THS DYNAMIC CR  ABSOLUTE R,,,,,0,,DIV C5,,,,AS OF 09/27/24                 REINVESTED DIVIDENDS @$8.8585,,
27-Sep-24,30-Sep-24,Stock Div,22,,25,,D054214,DYN27550,DYNAMIC CR  ABSOLUTE RETURN FD,,,,,0,,DIV C5,,,,AS OF 09/27/24                 REINVESTED DIVIDENDS @$8.8585,,
26-Sep-2024/27-Sep-2024,27-Sep-24,SELL,22,,-15000,8748,B074135,BMT102,BMO CAD HISA CL F (102),1,,1,,15000,,,0,,,,0,
26-Sep-24,,Misc cash,22U,,,,,,BUY USD @ 1.3570,,,,,515,U,FXC H4,,,,BUY USD @      1.3570,,
26-Sep-24,,Misc cash,22,,,,,,BUY USD @ 1.3570,,,,,-698.85,,FXC H4,,,,BUY USD @      1.3570,,
25-Sep-24,,Withdrawal,22,,,,,,RECURRING EFT,,,,,-12000,,AFT T9,,,,RECURRING EFT,,
21-Sep-24,23-Sep-24,Interest,22,,,,,,INT FR 08/22 THRU09/04@ 6.700%,,,,,-28.52,,INT,,,,INT FR 08/22 THRU09/04@ 6.700% BAL   11 986   AVBAL   11 130,,
21-Sep-24,23-Sep-24,Interest,22,,,,,,INT FR 09/05 THRU09/21@ 6.450%,,,,,-15.5,,INT,,,,INT FR 09/05 THRU09/21@ 6.450% BAL    2 029   AVBAL    5 174,,
20-Sep-2024/20-Sep-2024,20-Sep-24,BUY,22U,,0,7579,9334862,,ARCHITECT FEE(HST INCL REG,,,0,U,-513.23,U,,,,,,0,U
20-Sep-2024/20-Sep-2024,20-Sep-24,BUY,22,,0,7578,9334862,,ARCHITECT FEE(HST INCL REG,,,0,,-787.77,,,,,,,0,
20-Sep-2024/20-Sep-2024,20-Sep-24,BUY,22,,0,7876,9334944,,MERIDIAN PROGRAM(HST INCL REG,,,0,,-1255.21,,,,,,,0,
11-Sep-2024/12-Sep-2024,12-Sep-24,SELL,22,,-12000,4600,B074135,BMT102,BMO CAD HISA CL F (102),1,,1,,12000,,,0,,,,0,
04-Sep-24,,Reinvested,22,,1,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
04-Sep-24,,Reinvested,22,,-1000,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
30-Aug-24,03-Sep-24,Interest,22,,740,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 08/30/24                 REINVESTED @ $1.00,,
30-Aug-24,03-Sep-24,Interest,22,,336,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 08/30/24                 REINVESTED @ $1.00,,
30-Aug-24,03-Sep-24,Stock Div,22,,12,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,DIV C5,,,,AS OF 08/30/24                 REINVESTED DIVIDENDS @$11.4778,,
30-Aug-24,03-Sep-24,Stock Div,22,,901,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,DIV C5,,,,AS OF 08/30/24                 REINVESTED DIVIDENDS @$11.4778,,
30-Aug-24,03-Sep-24,Stock Div,22,,161,,D054213,,1000THS DYNAMIC CR  ABSOLUTE R,,,,,0,,DIV C5,,,,AS OF 08/30/24                 REINVESTED DIVIDENDS @$8.8347,,
30-Aug-24,03-Sep-24,Stock Div,22,,25,,D054214,DYN27550,DYNAMIC CR  ABSOLUTE RETURN FD,,,,,0,,DIV C5,,,,AS OF 08/30/24                 REINVESTED DIVIDENDS @$8.8347,,
23-Aug-24,,Withdrawal,22,,,,,,RECURRING EFT,,,,,-12000,,AFT T9,,,,RECURRING EFT,,
19-Aug-2024/20-Aug-2024,20-Aug-24,SELL,22,,-1050,4026,B074135,BMT102,BMO CAD HISA CL F (102),1,,1,,1050,,,0,,,,0,
19-Aug-24,,Misc cash,22U,,,,,,BUY USD @ 1.3753,,,,,490,U,FXC H4,,,,BUY USD @      1.3753,,
19-Aug-24,,Misc cash,22,,,,,,BUY USD @ 1.3753,,,,,-673.89,,FXC H4,,,,BUY USD @      1.3753,,
16-Aug-2024/16-Aug-2024,16-Aug-24,BUY,22U,,0,5686,9334862,,ARCHITECT FEE(HST INCL REG,,,0,U,-495.77,U,,,,,,0,U
16-Aug-2024/16-Aug-2024,16-Aug-24,BUY,22,,0,5685,9334862,,ARCHITECT FEE(HST INCL REG,,,0,,-785.68,,,,,,,0,
16-Aug-2024/16-Aug-2024,16-Aug-24,BUY,22,,0,5789,9334944,,MERIDIAN PROGRAM(HST INCL REG,,,0,,-1172.16,,,,,,,0,
31-Jul-24,01-Aug-24,Interest,22,,160,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 07/31/24                 REINVESTED @ $1.00,,
31-Jul-24,01-Aug-24,Interest,22,,470,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 07/31/24                 REINVESTED @ $1.00,,
30-Jul-24,,Reinvested,22,,1,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
