Transaction,SAMPLE- RRSP 1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SELECTION CRITERIA: All transaction types,,,,,,,,,,,,,,,,,,,,,
SECURITY: All securities,,,,,,,,,,,,,,,,,,,,,
DATES: 01-JAN-2024 TO 01-JAN-2025,,,,,,,,,,,,,,,,,,,,,
                      ,,,,,,,,,,,,,,,,,,,,,
TRANS/VALUE DATE,ENTRY DATE,TRANS TYPE,A/C,ST,QUANTITY,TRADE NO,CUSIP,SYMBOL,SECURITY DESCRIPTION,AVG COST,,UNIT PRICE,,TOTAL AMOUNT,,REMARK,GAIN/LOSS,,CXLD,LONG REMARK,COMMISSION
07-Aug-2024/09-Aug-2024,08-Aug-24,BUY,19,,100000,1879,5CVFQL3,,BMO EXT'2034 FIXED   5%09AUG25,,,100,,-100000,,YLD: 5.00%,,,,,0
07-Aug-2024/09-Aug-2024,08-Aug-24,Cancel BUY,19,,-100000,1879,5CVFQL3,,BMO EXT'2034 FIXED   5%09AUG25,,,100,,102500,,YLD: 5.00%,,,,,0
07-Aug-2024/09-Aug-2024,07-Aug-24,BUY,19,,100000,1879,5CVFQL3,,BMO EXT'2034 FIXED   5%09AUG25,,,100,,-102500,,YLD: 5.00%,,,Y,,0
02-Aug-24,,Reinvested,19,,-1000,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
02-Aug-24,,Reinvested,19,,1,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
31-Jul-24,01-Aug-24,Interest,19,,860,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 07/31/24                 REINVESTED @ $1.00,
31-Jul-24,01-Aug-24,Interest,19,,894,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 07/31/24                 REINVESTED @ $1.00,
31-Jul-24,01-Aug-24,Interest,19U,,430,,B074345,,1000THS BMO USD HISA SR I(123),,,,,0,U,INT C5,,,,AS OF 07/31/24                 REINVESTED @ $1.00,
31-Jul-24,01-Aug-24,Interest,19U,,222,,B074346,BMT123,BMO USD HISA CL I  (123),,,,,0,U,INT C5,,,,AS OF 07/31/24                 REINVESTED @ $1.00,
10-Jul-24,,Interest,19,,,,585CMVRZ2,,BMO EXT2025 FIXED 5.75%10JUL24,,,,,610.22,,INT,,,,REG INT   ON   21225 BND       REC 07/09/24 PAY 07/10/24,
03-Jul-24,,Reinvested,19U,,-1000,,B074345,,1000THS BMO USD HISA SR I(123),,,,,0,U,EXH AB,,,,FULL SHARES FOR FRACTIONS,
03-Jul-24,,Reinvested,19U,,1,,B074346,BMT123,BMO USD HISA CL I  (123),,,,,0,U,EXH AB,,,,FULL SHARES FOR FRACTIONS,
28-Jun-24,02-Jul-24,Interest,19,,210,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 06/28/24                 REINVESTED @ $1.00,
28-Jun-24,02-Jul-24,Interest,19,,764,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 06/28/24                 REINVESTED @ $1.00,
28-Jun-24,02-Jul-24,Interest,19U,,400,,B074345,,1000THS BMO USD HISA SR I(123),,,,,0,U,INT C5,,,,AS OF 06/28/24                 REINVESTED @ $1.00,
28-Jun-24,02-Jul-24,Interest,19U,,214,,B074346,BMT123,BMO USD HISA CL I  (123),,,,,0,U,INT C5,,,,AS OF 06/28/24                 REINVESTED @ $1.00,
19-Jun-24,,Reinvested,19,,-1000,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
19-Jun-24,,Reinvested,19,,1,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
18-Jun-24,,Purchase,19,,820,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,PUR KP,,,,AS OF 06/18/24                 REC FRACTIONAL SHARES IN RE    BUY OF 52130.820 SHARES,
17-Jun-2024/18-Jun-2024,18-Jun-24,BUY,19,,52130,9783,B074135,BMT102,BMO CAD HISA CL F (102),,,1,,-52130.82,,,,,,,0
04-Jun-24,,Reinvested,19,,-1000,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
04-Jun-24,,Reinvested,19,,1,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
03-Jun-24,,Interest,19,,,,475VRPMJ9,,ICICI BK GIC ANN  4.25%03JUN24,,,,,2130.82,,INT,,,,CPN INT   ON   50000 BND       REC 05/31/24 PAY 06/03/24,
